lemma	paradigm	tags	sources_count	source_flags
צייתן	ת,נקבה_ית		2	HL
צייתנות	ע,יחיד		2	HL
צייתני	ת		1	H
חייכן	ת,נקבה_ית		2	HL
חייכני	ת		1	H
ביישן	ת,נקבה_ית		2	HL
ביישני	ת		1	H
ביישנות	ע,יחיד		2	HL
פייסן	ת,נקבה_ית		1	H
פייסנות	ע,יחיד		1	H
פייסני	ת		1	H
צייצני	ת		1	H
קייטן	ת,נקבה_ית		1	H
קייטנות	ע,יחיד		2	HL
פייטן	ע		2	HL
פייטנית	ע		1	H
פייטני	ת		2	HL
חקיין	ת,נקבה_ית		2	HL
חקיינות	ע		1	H
עניין	ע		2	HL
ענייני	ת		2	HL
חייט	ע		2	HL
חייטת	ע		1	H
צייר	ע		2	HL
ציירת	ע		2	HL
סייר	ע		2	HL
סיירית	ע		1	H
סיירות	ע,יחיד		2	HL
סיירת	ע	#,this,is,both,female,of,סייר,,and,a,group,for,סיור,(e.g.,,in,the,army)	2	HL
שייט	ע		2	HL
שייטת	ע	#,female,of,שייט,and,a,group,of,boats,(in,the,army)	2	HL
חייב	ע		2	HL
חייבת	ע		2	HL
דייר	ע		2	HL
דיירת	ע		2	HL
דייג	ע		2	HL
דייגת	ע		1	H
דייל	ע		2	HL
דיילת	ע		2	HL
דיילות	ע,יחיד		2	HL
דיין	ע		2	HL
דיינות	ע,יחיד		1	H
טייס	ע		2	HL
טייסת	ע		2	HL
כייס	ע		1	H
כייסת	ע		1	H
כייסות	ע,יחיד		1	H
חייל	ע		2	HL
חיילת	ע		2	HL
חיילי	ת		2	HL
חיילות	ע,יחיד		2	HL
תייר	ע		2	HL
תיירת	ע		2	HL
תיירות	ע		2	HL
תיירותי	ת		2	HL
תיירן	ע	#,tour,organizer	1	H
תיירנית	ע		1	H
טייל	ע		2	HL
טיילת	ע		2	HL
סייד	ע		2	HL
סיידת	ע		1	H
סיידות	ע,יחיד		1	H
סייע	ע		2	HL
סייעת	ע		2	HL
טייח	ע		1	H
טייחת	ע		1	H
טייחות	ע,יחיד		1	H
צייד	ע		2	HL
ציידת	ע		2	HL
סייס	ע		1	H
סייסת	ע		1	H
סייסות	ע,יחיד		1	H
סייף	ע		2	HL
סייפת	ע		1	H
סייפית	ע	#,NOTE:,[4],says,סייפית,,not,סייפת.,[3],accepts,both.,Perhaps,accepting,only,סייפת,would,make,sense,,looking,at,other,words,similar,to,this,,all,using,ת,for,feminine.	1	H
אייל	ע		2	HL
איילה	ע		2	HL
נייר	ע,ות		2	HL
קיים	ת,נקבה_ת		2	HL
קיימה	ע,אין_נטיות	#,Mostly,in,the,phrase,בן,קיימה.	2	HL
שייך	ת,נקבה_ת		2	HL
שייכות	ע		2	HL
אופייני	ת		2	HL
תעשייתי	ת		2	HL
תעשיין	ע		2	HL
תעשיינית	ע		1	H
יישוב	ע	#,some,people,mis-pronounce,"yeshuv",and,write,ישוב	2	HL
יישובי	ת		2	HL
ייחוד	ע		2	HL
ייחודי	ת		2	HL
ייחודיות	ע		2	HL
ייחור	ע		1	H
ייצוג	ע		2	HL
ייצוגי	ת		2	HL
ייצוגיות	ע		2	HL
יישום	ע		2	HL
יישומי	ת		2	HL
יישומון	ע	#,computer,term	1	H
יידעוני	ת,ם		1	H
בעייתי	ת		2	HL
בעייתיות	ע		2	HL
חייתי	ת		2	HL
עיירה	ע		2	HL
נייד	ת,נקבה_ת		2	HL
ניידות	ע		2	HL
ניידת	ע		2	HL
נייח	ת,נקבה_ת		2	HL
טיילת	ע		2	HL
ניירת	ע,יחיד		2	HL
עבריין	ע		2	HL
עבריינית	ע		2	HL
עבריינות	ע		2	HL
עברייני	ת	#,not,recognized,by,[3],or,rav-milim,,but,I,think,it,is,useful.,e.g,,התנהגות,עבריינית.	2	HL
דייסה	ע	#,Note,that,the,plural,is,pronounced,daysot.	2	HL
קריין	ע		2	HL
קריינית	ע		2	HL
קריינות	ע		2	HL
זייפן	ע		2	HL
זייפנית	ע		1	H
זייפנות	ע		1	H
חיישן	ע		2	HL
חיישן	ת,נקבה_ית	#,literary	2	HL
חיישנות	ע,יחיד		1	H
חיישני	ת		2	HL
צייקן	ת,נקבה_ית	#,literary	1	H
צייקנות	ע,יחיד		1	H
צייקני	ת		1	H
קייטנה	ע		2	HL
חיידק	ע		2	HL
חיידקי	ת		2	HL
חייזר	ע		2	HL
חייזרית	ע	#,colloquial	2	HL
חייזרי	ת		2	HL
חייבר	ע,אין_נטיות		1	H
שיירה	ע		2	HL
מאפיין	ע	#,[3],doesn't,acknowledge,this,is,a,noun.,Rav-milim,does.	2	HL
התיישבות	ע		2	HL
התיישבותי	ת		2	HL
מאיית	ע,ים	#,recently,,this,has,come,to,mean,a,spell-checker,software.,[4],has,this,sense,,[3],doesn't.	1	H
מאייד	ע	#,carburetor.	2	HL
דייק	ע,אין_נטיות	#,biblical,word.,Voweled,like,נמר.	2	HL
גוביינה	ע,אין_נטיות	#,[4],prefers,גוביינא,,but,the,Academia,decided,(decision,mentioned,on,their,site),גוביינה,,with,shuruk.	1	H
עייף	ת		2	HL
עייפות	ע,יחיד		2	HL
בלייעל	ע,אין_נטיות		1	H
